DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2000-01-01,35.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2000-01-01,109251.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,ES,2000-01-01,362468.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,2000-01-01,16895.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,2000-01-01,21726.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,2000-01-01,57400.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,2000-01-01,5203.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,2000-01-01,226968.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LT,2000-01-01,1510.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LU,2000-01-01,11765.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LV,2000-01-01,6483.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NL,2000-01-01,132850.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NO,2000-01-01,36542.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PL,2000-01-01,7331.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PT,2000-01-01,77775.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SE,2000-01-01,58659.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SI,2000-01-01,6185.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SK,2000-01-01,2274.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,2000-01-01,364367.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2001-01-01,89928.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2001-01-01,110410.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2001-01-01,124077.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2001-01-01,17485.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2001-01-01,12918.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2001-01-01,879217.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2001-01-01,55984.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2001-01-01,241.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,2001-01-01,98471.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,ES,2001-01-01,414772.0,,
