DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LU,1999-01-01,12794.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LV,1999-01-01,1813.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NL,1999-01-01,119151.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NO,1999-01-01,41841.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PL,1999-01-01,7525.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PT,1999-01-01,68297.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SE,1999-01-01,49839.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SI,1999-01-01,4941.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SK,1999-01-01,2072.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,1999-01-01,354077.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2000-01-01,81676.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2000-01-01,89388.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2000-01-01,110302.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2000-01-01,12764.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2000-01-01,841158.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2000-01-01,52915.0,,
